[2023-04-26T16:50:23.315Z] [SEALIGHTS] 2023-04-26 16:50:23,170 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/AuditModel' was instrumented for code coverage (methods: total=23, instrumented=22), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:23.315Z] [SEALIGHTS] 2023-04-26 16:50:23,175 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/AModel' was instrumented for code coverage (methods: total=11, instrumented=10), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:23.315Z] [SEALIGHTS] 2023-04-26 16:50:23,176 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/dao/AbstractMyBatisDaoTest$2' was instrumented for code coverage (methods: total=2, instrumented=1), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:23.315Z] [SEALIGHTS] 2023-04-26 16:50:23,177 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/dao/AbstractMyBatisDaoTest$3' was instrumented for code coverage (methods: total=2, instrumented=1), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:23.315Z] [SEALIGHTS] 2023-04-26 16:50:23,178 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/dao/AbstractMyBatisDaoTest$4' was instrumented for code coverage (methods: total=2, instrumented=1), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:23.315Z] [SEALIGHTS] 2023-04-26 16:50:23,180 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/dao/AbstractMyBatisDao' was instrumented for code coverage (methods: total=9, instrumented=8), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:23.315Z] [SEALIGHTS] 2023-04-26 16:50:23,181 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/dao/AbstractMyBatisDaoTest$1' was instrumented for code coverage (methods: total=2, instrumented=1), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:23.315Z] [SEALIGHTS] 2023-04-26 16:50:23,191 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/AITest' was instrumented for code coverage (methods: total=8, instrumented=7), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:23.315Z] [SEALIGHTS] 2023-04-26 16:50:23,201 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/Application' was instrumented for code coverage (methods: total=3, instrumented=2), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:23.315Z] [SEALIGHTS] 2023-04-26 16:50:23,248 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/AITest$SecurityConfiguration' was instrumented for code coverage (methods: total=3, instrumented=2), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:23.315Z] [SEALIGHTS] 2023-04-26 16:50:23,254 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/exception/EntityNotFoundException' was instrumented for code coverage (methods: total=5, instrumented=4), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
